School,Recommendation_Tier,Has_Salary_Data,Median_Earnings_1yr,Median_Earnings_5yr,Avg_GPA,Avg_SAT,Fortune500_Hirers,Total_Enrollment,Admission_Rate,Avg_Net_Price,Latitude,Longitude
madonna university,Strong Match,False,,,3.5,1042.0,[],"2,109",0.65,17730.0,42.384323,-83.404722
muskingum university,Strong Match,False,,,3.4,1058.0,[],"2,117",0.86,20157.0,39.996585,-81.737127
ohio wesleyan university,Strong Match (Good Earnings),True,29547.0,,3.7,1155.0,[],"1,410",0.52,26628.0,40.295963,-83.069757
utah state university,Strong Match (Good Earnings),False,,48309.0,3.6,1201.0,"['Extra Space Storage', 'NRG Energy', 'Nucor', 'Verisk Analytics']","27,943",0.94,13530.0,41.740748,-111.81391
frostburg state university,Strong Match (Good Earnings),True,29851.0,,3.5,1033.0,[],"4,067",0.88,15970.0,39.650918,-78.934293
suny college of environmental science and forestry,Strong Match (Good Earnings),False,,44379.0,3.7,1217.0,[],"1,976",0.7,22133.0,43.034765,-76.138724
beacon college,Strong Match,False,,,3.3,,[],501,0.52,43600.0,28.811281,-81.87415
carroll university,Strong Match (Good Earnings),True,25303.0,,3.5,1162.0,['Generac'],"3,283",0.72,24094.0,43.004527,-88.228114
north carolina state university at raleigh,Strong Match (Good Earnings),True,25069.0,,3.9,1349.0,[],"36,700",0.47,14600.0,35.785111,-78.674517
university of north dakota,Strong Match (Good Earnings),True,24721.0,,3.6,1147.0,"['United Airlines Holdings', 'Hess Corporation', 'Delta Air Lines', 'Ameriprise Financial']","13,876",0.83,16780.0,47.921654,-97.071738
liberty university,Strong Match (Good Earnings),True,23988.0,,3.6,1171.0,"['CSX Corporation', 'Universal Health Services', 'NVR, Inc.', 'Norfolk Southern Railway', 'Dollar Tree', 'Huntington Ingalls Industries', 'Tractor Supply', 'UDR, Inc.', 'CoStar Group', 'Dominion Energy']","96,709",0.99,28762.0,37.350232,-79.18222
friends university,Strong Match (Good Earnings),True,24692.0,,3.4,1109.0,['Textron'],"1,724",0.63,20686.0,37.678459,-97.367048
northern michigan university,Strong Match (Good Earnings),False,,38797.0,3.4,1096.0,[],"6,970",0.71,15453.0,46.559751,-87.406568
kentucky wesleyan college,Strong Match,True,17085.0,,3.3,1141.0,[],813,0.69,18605.0,37.744489,-87.119658
