School,Recommendation_Tier,Has_Salary_Data,Median_Earnings_1yr,Median_Earnings_5yr,Avg_GPA,Avg_SAT,Fortune500_Hirers,Total_Enrollment,Admission_Rate,Avg_Net_Price,Latitude,Longitude
university of connecticut,Strong Match (High Earnings),True,35618.0,73079.0,3.8,1312.0,"['Travelers Companies (The)', 'W. R. Berkley Corporation', 'Medtronic', 'Eversource Energy', 'Vertex Pharmaceuticals', 'General Dynamics', 'Hubbell Incorporated', 'FactSet', 'Ametek', 'Citizens Financial Group', 'Hartford (The)', 'Cigna', 'RTX Corporation', 'CVS Health', 'Otis Worldwide']","27,003",0.55,22233.0,41.809098,-72.249948
san francisco state university,Strong Match (High Earnings),True,41565.0,59685.0,3.4,1046.0,"['Workday, Inc.', 'Ross Stores', 'Essex Property Trust', 'Healthpeak Properties', 'Autodesk', 'PG&E Corporation', 'Airbnb', 'Gilead Sciences']","25,282",0.94,14757.0,37.721224,-122.476799
university of florida,Strong Match (High Earnings),True,23809.0,58561.0,3.9,1394.0,"['CSX Corporation', 'Home Depot (The)', 'Walgreens Boots Alliance', 'Allstate', 'Fidelity National Information Services', 'Roper Technologies', 'Raymond James Financial', 'Norwegian Cruise Line Holdings', 'Lockheed Martin', 'Lennar', 'NextEra Energy', 'Mosaic Company (The)', 'CVS Health', 'HCA Healthcare', 'Regency Centers', 'Carnival', 'Franklin Resources', 'Aflac', 'Brown & Brown', 'Motorola Solutions', 'L3Harris', 'Darden Restaurants', 'PulteGroup', 'Duke Energy', 'Rollins, Inc.', 'Royal Caribbean Group', 'Walt Disney Company (The)', 'Gartner', 'Texas Instruments', 'D. R. Horton', 'Delta Air Lines', 'Kimco Realty']","55,211",0.23,10075.0,29.64629,-82.347911
washington state university,Strong Match (High Earnings),True,28469.0,52434.0,3.3,1131.0,"['Weyerhaeuser', 'Fortive', 'Costco', 'Boeing', 'Lamb Weston', 'Expeditors International', 'Expedia Group', 'F5, Inc.', 'Starbucks']","27,539",0.83,17931.0,46.730448,-117.158168
michigan state university,Strong Match (Good Earnings),True,26801.0,49355.0,3.8,1223.0,"['Ecolab', 'Howmet Aerospace', 'Interpublic Group of Companies (The)', 'Masco', 'Packaging Corporation of America', 'DuPont', 'CMS Energy', 'Zimmer Biomet', 'Conagra Brands', 'W. W. Grainger', 'General Motors', 'Aflac', 'Ulta Beauty', 'C.H. Robinson', 'Kellanova', 'Hormel Foods', 'Darden Restaurants', 'Marathon Petroleum', 'Stryker Corporation', 'Waste Management', 'Charles River Laboratories', 'Clorox', 'Lilly (Eli)', 'Amcor', 'General Mills', 'DTE Energy', 'GE Aerospace', 'Ford Motor Company', ""Domino's"", 'Eaton Corporation', 'IDEX Corporation', 'Huntington Bancshares', 'LabCorp', 'Altria', 'Kraft Heinz', 'Dow Inc.', 'Hershey Company (The)']","50,023",0.88,16655.0,42.73212,-84.476111
university of wyoming,Strong Match (Good Earnings),True,29359.0,43996.0,3.6,1203.0,[],"11,100",0.96,12224.0,41.311773,-105.57931
brigham young university,Strong Match (Good Earnings),True,24457.0,51337.0,3.9,1326.0,"['Global Payments', 'Adobe Inc.', 'Extra Space Storage', 'NRG Energy', 'Lamb Weston', 'Verisk Analytics']","34,464",0.67,13150.0,40.250851,-111.649281
mississippi state university,Strong Match,False,,,3.6,1246.0,"['Weyerhaeuser', 'Steel Dynamics', 'United Rentals', 'Entergy', 'Mid-America Apartment Communities', 'International Paper', 'FedEx', 'Packaging Corporation of America', 'CF Industries']","22,649",0.75,16402.0,33.454852,-88.790139
university of kentucky,Strong Match,False,,,3.6,1227.0,"['Yum! Brands', 'Martin Marietta Materials', 'Ventas', 'Fifth Third Bancorp', 'PPL Corporation', 'Cintas', 'Humana', 'Vulcan Materials Company', 'TransDigm Group', 'Brown–Forman', 'Cincinnati Financial', 'Kroger', 'American Water Works', 'Marathon Petroleum']","31,547",0.95,19831.0,38.038911,-84.504747
university of new england,Strong Match (Good Earnings),True,28509.0,44700.0,3.4,1142.0,['Idexx Laboratories'],"6,434",0.96,36474.0,43.458591,-70.38535
eckerd college,Strong Match,False,,,3.6,1210.0,[],"1,993",0.65,43732.0,27.715798,-82.687043
bucknell university,Strong Match,False,,,3.7,1355.0,[],"3,787",0.33,39359.0,40.954317,-76.882616
southwestern university,Strong Match,False,,,3.5,1238.0,[],"1,483",0.45,29830.0,30.634341,-97.665738
iowa state university,Strong Match,False,,,3.7,1220.0,"['Emerson Electric', 'Deere & Company', 'Lennox International', 'Conagra Brands', 'W. R. Berkley Corporation', 'Principal Financial Group', 'IDEX Corporation', 'Corteva', '3M', 'Union Pacific Corporation', 'Alliant Energy', 'Garmin', 'Hormel Foods', 'Target Corporation', 'Tyson Foods', 'DuPont', 'General Mills']","29,969",0.9,16105.0,42.026212,-93.648504
union university,Strong Match,False,,,3.8,1259.0,['FedEx'],"2,731",0.53,26906.0,35.676896,-88.858524
franklin and marshall college,Strong Match,False,,,3.8,1346.0,[],"1,990",0.36,28038.0,40.048045,-76.319037
oregon state university,Strong Match (Good Earnings),True,27491.0,36871.0,3.6,1202.0,"['Weyerhaeuser', 'Fortive', 'Waste Management', 'Nike, Inc.', 'Trimble Inc.', 'Lam Research', 'Garmin', 'Kroger']","34,292",0.83,21444.0,44.56395,-123.274723
university of maine,Strong Match (Good Earnings),True,35130.0,,3.5,1159.0,"['Packaging Corporation of America', 'Idexx Laboratories']","12,231",0.94,16365.0,44.899257,-68.669332
weber state university,Strong Match (Good Earnings),True,28461.0,44320.0,3.3,1080.0,"['Extra Space Storage', 'NRG Energy']","29,914",1.0,11767.0,41.192591,-111.944845
texas tech university,Strong Match,False,,,3.7,1181.0,"['Atmos Energy', 'Vistra Corp.', 'Kinder Morgan', 'ConocoPhillips', 'EOG Resources', 'Devon Energy', 'Texas Instruments', 'Globe Life', 'Coterra', 'D. R. Horton', 'Valero Energy', 'Texas Pacific Land Corporation', 'ExxonMobil', 'Diamondback Energy', 'Occidental Petroleum']","40,378",0.67,15452.0,33.583448,-101.874783
auburn university,Strong Match,False,,,4.0,1300.0,"['Home Depot (The)', 'Weyerhaeuser', 'J.B. Hunt', 'Global Payments', 'Norfolk Southern Railway', 'United Rentals', 'Genuine Parts Company', 'Aflac', 'Mohawk Industries', 'Hubbell Incorporated', 'Teledyne Technologies', 'Mid-America Apartment Communities', 'Vulcan Materials Company', 'International Paper', 'Delta Air Lines', 'Southern Company', 'Regions Financial Corporation', 'Smurfit WestRock']","31,764",0.71,24028.0,32.599378,-85.488258
university of hawaii at manoa,Strong Match,False,,,3.7,1170.0,[],"19,074",0.73,15193.0,21.298598,-157.818979
texas state university,Strong Match (Good Earnings),True,22264.0,47662.0,3.4,1102.0,"['Universal Health Services', 'Martin Marietta Materials', 'United Rentals', 'Kinder Morgan', 'Dell Technologies', 'EOG Resources', 'CrowdStrike', 'Cintas', 'Gartner', 'Monster Beverage', 'D. R. Horton', 'Valero Energy', 'Texas Pacific Land Corporation', 'Lennar']","38,171",0.88,13750.0,29.888885,-97.943029
berry college,Strong Match (Good Earnings),True,33258.0,,3.8,1245.0,[],"2,360",0.66,24605.0,34.290414,-85.189202
university of delaware,Strong Match,False,,,4.0,1261.0,"['Hologic', 'Exelon', 'Air Products', 'NVR, Inc.', 'Incyte', 'DuPont', 'Merck & Co.', 'MarketAxess', 'FMC Corporation', 'M&T Bank', 'International Flavors & Fragrances', 'Agilent Technologies', 'Waters Corporation', 'American Water Works']","24,039",0.74,19747.0,39.679577,-75.752822
san jose state university,Strong Match,False,,,3.5,1139.0,"['Netflix', 'Synopsys', 'Hewlett Packard Enterprise', 'Adobe Inc.', 'Federal Realty Investment Trust', 'Cadence Design Systems', 'Intuit', 'Costco', 'Alexandria Real Estate Equities', 'Microchip Technology', 'F5, Inc.', 'Gilead Sciences', 'Monolithic Power Systems', 'Cooper Companies (The)', 'Meta Platforms', 'Palo Alto Networks', 'Workday, Inc.', 'Essex Property Trust', 'Danaher Corporation', 'Cisco', 'CrowdStrike', 'Bio-Techne', 'PG&E Corporation', 'Tesla, Inc.', 'Equinix', 'Expeditors International', 'Agilent Technologies', 'Advanced Micro Devices', 'Arista Networks', 'Apple Inc.', 'Intel', 'Western Digital', 'KLA Corporation', 'Broadcom', 'Juniper Networks', 'Nvidia', 'NetApp', 'ServiceNow', 'eBay', 'Intuitive Surgical', 'Fortinet', 'Ross Stores', 'Walmart', 'Applied Materials', 'Supermicro', 'Trimble Inc.', 'Lam Research', 'Verisign', 'PayPal', 'Visa Inc.']","35,751",0.77,15995.0,37.336569,-121.880621
state university of new york at oswego,Strong Match (Good Earnings),True,27922.0,40758.0,3.2,1158.0,"['Paychex', 'Constellation Energy']","6,906",0.83,16398.0,43.454287,-76.540798
university of georgia,Strong Match,False,,,4.0,1347.0,[],"40,607",0.43,16580.0,33.956262,-83.374039
unity environmental university,Strong Match (Good Earnings),True,30987.0,44818.0,3.3,,[],"4,281",0.94,26080.0,43.905745,-70.257277
canisius university,Strong Match (Good Earnings),True,26398.0,40744.0,3.3,1158.0,['M&T Bank'],"2,492",0.78,18828.0,42.925206,-78.852577
northern arizona university,Strong Match,False,,,3.7,1130.0,"['Deckers Brands', 'GoDaddy', 'Freeport-McMoRan']","28,086",0.8,15692.0,35.188449,-111.653724
university of akron main campus,Strong Match,False,,,3.5,1118.0,[],"13,465",0.83,17328.0,41.075923,-81.511167
kent state university at kent,Strong Match (Good Earnings),True,25491.0,37701.0,3.5,1146.0,[],"25,854",0.88,19034.0,41.146653,-81.342533
idaho state university,Strong Match,False,,,3.4,1460.0,"['Lamb Weston', 'ON Semiconductor']","12,301",0.99,12999.0,42.863832,-112.432312
olivet nazarene university,Strong Match,False,,,3.5,1098.0,[],"3,255",0.58,20006.0,41.155237,-87.875165
university of idaho,Strong Match,False,,,3.4,1137.0,"['Lamb Weston', 'Micron Technology']","11,507",0.74,14929.0,46.727406,-117.014167
university of vermont,Strong Match (Good Earnings),True,22321.0,37794.0,3.9,1287.0,"['Keurig Dr Pepper', 'Idexx Laboratories']","14,088",0.6,20235.0,44.477325,-73.196646
hastings college,Strong Match,False,,,3.5,1076.0,[],936,0.71,21670.0,40.59025,-98.374403
delaware valley university,Strong Match (Good Earnings),True,27287.0,36401.0,3.5,1077.0,[],"2,178",0.95,28530.0,40.298659,-75.158452
utica university,Strong Match,False,,,3.4,1110.0,[],"3,861",0.81,22782.0,43.096213,-75.272916
mars hill university,Strong Match,False,,,3.5,1051.0,[],"1,032",0.74,18735.0,35.82752,-82.551827
malone university,Strong Match,False,,,3.5,1046.0,[],"1,199",0.75,19897.0,40.825662,-81.376863
