company,school_1,alumnicount_1,school_2,alumnicount_2,school_3,alumnicount_3,school_4,alumnicount_4,school_5,alumnicount_5,school_6,alumnicount_6,school_7,alumnicount_7,school_8,alumnicount_8,school_9,alumnicount_9,school_10,alumnicount_10,school_11,alumnicount_11,school_12,alumnicount_12,school_13,alumnicount_13,school_14,alumnicount_14,school_15,alumnicount_15,id
CrowdStrike,western governors university,127,san josé state university,121,savitribai phule pune university,116,the university of texas at austin,93,university politehnica of bucharest,91,the university of texas at san antonio,77,penn state university,63,uc irvine,62,texas state university,58,sans technology institute,54,university of maryland global campus,54,university of southern california,53,aarhus university,53,georgia institute of technology,48,texas a&m university,47,134
Crown Castle,robert morris university,102,university of pittsburgh,78,penn state university,77,university of phoenix,56,arizona state university,55,pennwest california,41,duquesne university,39,west virginia university,35,indiana university of pennsylvania,32,university of houston,30,florida international university,29,the university of texas at austin,28,community college of allegheny county,26,"california state university, fullerton",22,thomas r. kline school of law of duquesne university,22,135
CSX Corporation,university of north florida,293,florida state college at jacksonville,130,university of florida,108,university of phoenix,97,jacksonville university,95,florida state university,84,marshall university,65,columbia southern university,63,mountwest community and technical college,55,university of north florida - college of business administration,37,colorado technical university,37,university of maryland,35,liberty university,35,university of florida - warrington college of business,30,embry-riddle aeronautical university,24,136
Cummins,purdue university,981,savitribai phule pune university,754,indiana university - kelley school of business,527,indiana university indianapolis,378,indiana university bloomington,376,indiana wesleyan university,257,michigan technological university,214,university of mumbai,186,tecnológico de monterrey,174,fgv - fundação getulio vargas,159,vellore institute of technology,149,"birla institute of technology and science, pilani",147,coep technological university,146,spjimr sp jain institute of management & research,115,the institute of chartered accountants of india,105,137
CVS Health,university of phoenix,1325,capella university,918,massachusetts college of pharmacy and health sciences,902,university of connecticut,871,arizona state university,772,university of rhode island,689,penn state university,611,university of illinois chicago,567,northeastern university,565,university of florida,494,bryant university,402,university of illinois urbana-champaign,387,jawaharlal nehru technological university,354,boston university,280,columbia university,182,138
Danaher Corporation,uppsala university,623,harvard business school online,441,san josé state university,310,dtu - technical university of denmark,271,university of minnesota,236,purdue university,215,national university of singapore,176,minimba,162,northeastern university,156,"university of california, berkeley",153,university of mumbai,148,harvard business school,148,copenhagen business school,143,penn state university,142,fgv - fundação getulio vargas,90,139
Darden Restaurants,university of central florida,648,valencia college,356,university of south florida,198,university of phoenix,169,arizona state university,150,penn state university,144,west virginia university,134,johnson & wales university,134,florida state university,133,university of north texas,133,florida international university,133,university of florida,124,florida atlantic university,110,east carolina university,109,michigan state university,76,140
DaVita,university of phoenix,369,western governors university,324,chamberlain university,217,grand canyon university,152,university of colorado boulder,137,penn state university,136,"california state university, long beach",130,colorado state university,126,walden university,121,metropolitan state university of denver,115,university of colorado denver,101,capella university,101,university of washington,96,university of denver,87,ucla,83,141
Dayforce,university of mauritius,177,university of toronto,104,university of waterloo,93,seneca polytechnic,76,york university,73,polytechnic university of the philippines,70,university of technology mauritius,57,ryerson university,52,sheridan college,46,concordia university,46,humber college,40,western university,39,open university of mauritius,35,george brown college,30,toronto metropolitan university,26,142
Deckers Brands,uc santa barbara,140,santa barbara city college,54,northern arizona university,27,"california state university, northridge",24,fashion institute of technology,23,fidm,22,university of oregon,20,university of colorado boulder,19,california state university channel islands,15,portland state university,15,"california state university, long beach",14,northeastern university,13,san diego state university,13,"university of california, riverside",13,monash university,9,143
Deere & Company,iowa state university,1487,university of northern iowa,986,tecnológico de monterrey,798,university of iowa,771,st. ambrose university,625,universidad autónoma de nuevo león,597,the university of iowa tippie college of business,547,western illinois university,461,university of illinois urbana-champaign,448,savitribai phule pune university,444,purdue university,336,fgv - fundação getulio vargas,305,fahor - faculdade horizontina,273,universidad nacional de rosario,258,"birla institute of technology and science, pilani",188,144
Dell Technologies,the university of texas at austin,1854,texas a&m university,967,texas state university,943,visvesvaraya technological university,833,pontifícia universidade católica do rio grande do sul,727,texas mccombs school of business,626,northeastern university,578,"birla institute of technology and science, pilani",477,kendriya vidyalaya,455,fgv - fundação getulio vargas,441,university of mumbai,340,vellore institute of technology,268,the german university in cairo,248,ain shams university,217,indian institute of management bangalore,216,145
Delta Air Lines,embry-riddle aeronautical university,1598,georgia state university,1033,georgia institute of technology,975,united states air force academy,655,the university of georgia,552,kennesaw state university,412,university of north dakota,391,clayton state university,352,auburn university,341,university of minnesota,323,university of georgia - terry college of business,246,university of florida,224,georgia state university - j. mack robinson college of business,194,emory university - goizueta business school,138,emory university,118,146
Devon Energy,university of oklahoma,254,oklahoma state university,189,university of central oklahoma,135,oklahoma city university,63,university of oklahoma - price college of business,62,texas a&m university,54,southern alberta institute of technology (sait),48,oklahoma christian university,47,texas tech university,38,southwestern oklahoma state university,36,southern nazarene university,35,the university of tulsa,33,the university of texas at austin,32,university of calgary,24,east central university,19,147
Dexcom,san diego state university,242,uc san diego,234,arizona state university,114,vilniaus universitetas / vilnius university,90,university of southern california,45,university of san diego,45,california state university san marcos,44,california polytechnic state university-san luis obispo,44,"university of california, berkeley",42,university of phoenix,42,uc irvine,41,universiti sains malaysia,39,ucla,39,polytechnic university of the philippines,38,cetys universidad,37,148
Diamondback Energy,texas tech university,82,texas a&m university,61,the university of texas permian basin,58,midland college,57,university of oklahoma,42,oklahoma state university,41,university of central oklahoma,31,the university of texas at austin,20,louisiana state university,18,texas tech university - rawls college of business,15,oklahoma christian university,13,oklahoma city university,13,university of phoenix,12,southern nazarene university,11,angelo state university,10,149
Digital Realty,northern virginia community college,53,singapore management university,25,nanyang technological university singapore,24,dublin business school,23,university of phoenix,23,amsterdam university of applied sciences,22,national university of singapore,20,george mason university,15,vrije universiteit amsterdam (vu amsterdam),14,university of north texas,14,university of amsterdam,12,inholland university of applied sciences,12,the university of hong kong,11,university of san francisco,10,trinity college dublin,9,150
Discover Financial,wilmington university,482,depaul university,359,northern illinois university,318,university of illinois urbana-champaign,312,university of phoenix,257,university of illinois chicago,253,illinois state university,251,arizona state university,242,salt lake community college,225,the ohio state university,207,university of utah,165,northwestern university,139,jawaharlal nehru technological university,137,purdue university,120,lake forest graduate school of management,107,151
Dollar General,university of phoenix,340,strayer university,161,western kentucky university,129,middle tennessee state university (mtsu),118,"university of tennessee, knoxville",114,ivy tech community college,104,colorado technical university,104,southern new hampshire university,92,kaplan university,73,tennessee technological university,55,volunteer state community college,55,western governors university,54,austin peay state university,54,capella university,53,universidad autónoma de nuevo león,39,152
Dollar Tree,old dominion university,197,university of phoenix,147,tidewater community college,121,southern new hampshire university,58,strayer university,52,ivy tech community college,46,virginia tech,46,norfolk state university,38,penn foster group,36,virginia commonwealth university,35,colorado technical university,35,liberty university,31,james madison university,26,university of maryland global campus,19,william & mary,19,153
Dominion Energy,virginia commonwealth university,571,virginia tech,393,university of south carolina,281,old dominion university,239,university of virginia,161,james madison university,150,clemson university,116,virginia commonwealth university - school of business,107,j sargeant reynolds community college,104,excelsior university,98,liberty university,94,penn state university,92,midlands technical college,91,averett university,90,john tyler community college,83,154
Republic Services,university of phoenix,221,arizona state university,216,w. p. carey school of business – arizona state university,79,university of arizona,68,grand canyon university,55,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,155
Domino's,eastern michigan university,134,michigan state university,124,university of michigan,105,conestoga college,101,university of north texas,97,university of phoenix,95,qut (queensland university of technology),80,central michigan university,79,delhi university,76,seneca polytechnic,67,lambton college,60,fanshawe college,55,wayne state university,47,washtenaw community college,45,university of michigan-dearborn,41,156
Dover Corporation,northern illinois university,17,visvesvaraya technological university,16,university of illinois urbana-champaign,13,"birla institute of technology and science, pilani",10,rv college of engineering,9,depaul university,9,the university of chicago booth school of business,9,purdue university,8,university of cebu,8,university of san carlos,7,university of wisconsin-madison,7,loyola university chicago,7,the institute of chartered accountants of india,6,university of illinois chicago,6,northwestern university - kellogg school of management,6,157
Dow Inc.,delta college,729,central michigan university,674,saginaw valley state university,633,northwood university,553,texas a&m university,437,michigan state university,431,louisiana state university,388,university of houston,320,universidad nacional del sur,232,the university of texas at austin,231,university of michigan,224,hz university of applied sciences,217,fgv - fundação getulio vargas,209,university of mumbai,198,usp - universidade de são paulo,145,158
D. R. Horton,texas a&m university,130,the university of texas at arlington,81,university of phoenix,79,university of central florida,71,texas state university,69,university of north texas,59,florida state university,57,university of florida,56,texas tech university,55,university of south florida,50,tarrant county college,48,the university of alabama,48,arizona state university,45,utah valley university,44,coastal carolina university,43,159
DTE Energy,wayne state university,656,university of michigan-dearborn,290,michigan state university,285,university of michigan,265,eastern michigan university,222,oakland university,202,central michigan university,201,macomb community college,170,henry ford college,153,walsh college,152,lawrence technological university,149,the university of toledo,110,university of detroit mercy,106,michigan technological university,98,monroe county community college,97,160
Duke Energy,university of north carolina at charlotte,882,north carolina state university,871,clemson university,371,central piedmont community college,236,university of south carolina,234,university of cincinnati,231,university of south florida,214,university of north carolina at chapel hill,211,appalachian state university,191,university of phoenix,191,east carolina university,188,purdue university,173,university of central florida,163,university of florida,162,university of north carolina wilmington,160,161
DuPont,university of delaware,315,universidad de oviedo,242,penn state university,205,drexel university,153,virginia tech,127,purdue university,116,iowa state university,107,national taiwan university,102,the ohio state university,96,osmania university,94,virginia commonwealth university,74,university of illinois urbana-champaign,72,national tsing hua university,69,fgv - fundação getulio vargas,64,michigan state university,62,162
Eastman Chemical Company,east tennessee state university,660,"university of tennessee, knoxville",347,northeast state community college,326,tennessee technological university,131,virginia tech,126,north carolina state university,108,kilgore college,103,ghent university,98,king university,91,clemson university,74,purdue university,72,texas a&m university,70,georgia institute of technology,62,louisiana tech university,57,the university of alabama,55,163
Eaton Corporation,savitribai phule pune university,702,"birla institute of technology and science, pilani",277,north carolina state university,266,tecnológico de monterrey,252,michigan state university,230,penn state university,194,university of pittsburgh,193,universidad tecmilenio,172,the ohio state university,164,fgv - fundação getulio vargas,141,coep technological university,131,universidade estadual de campinas,128,university of mumbai,119,vishwakarma institute of technology,114,"indian institute of technology, bombay",107,164
eBay,san josé state university,257,"university of california, berkeley",138,salt lake community college,120,university of southern california,114,university of utah,111,university of mumbai,93,shanghai jiao tong university,91,anna university chennai,88,stanford university,83,jawaharlal nehru technological university,83,university of washington,76,the university of texas at austin,72,santa clara university,69,ucla,69,visvesvaraya technological university,53,165
Ecolab,university of minnesota,458,university of minnesota - carlson school of management,254,university of buenos aires,188,krakow university of economics,169,university of st. thomas,169,university of wisconsin-madison,164,savitribai phule pune university,150,fgv - fundação getulio vargas,138,uade,136,university of illinois urbana-champaign,126,purdue university,114,university of minnesota duluth,110,penn state university,102,texas a&m university,92,michigan state university,81,166
Edison International,uc irvine,28,university of la verne,27,california state polytechnic university-pomona,22,ucla,20,university of southern california,20,"california state university, long beach",20,university of phoenix,19,university of redlands,8,"california state university, fullerton",8,"california state university, northridge",8,"california state university, los angeles",7,long beach city college,7,"university of california, riverside",7,mt. san antonio college,7,"university of california, berkeley",6,167
Equity Residential,depaul university,27,university of phoenix,19,university of illinois urbana-champaign,15,university of illinois chicago,13,loyola university chicago,11,san diego state university,10,northern illinois university,10,"california state university, fullerton",10,university of washington,8,new york university,7,devry university,7,northeastern university,7,johnson & wales university,7,"california state university, long beach",7,"california state university, northridge",7,168
Edwards Lifesciences,uc irvine,459,"california state university, fullerton",268,university of southern california,192,"california state university, long beach",173,ucla,163,tecnológico de costa rica,134,california state polytechnic university-pomona,118,university of utah,118,uc san diego,117,"university of california, riverside",112,california polytechnic state university-san luis obispo,111,university of limerick,108,"university of california, irvine - the paul merage school of business",98,university of phoenix,85,universidad de costa rica ucr,76,169
Electronic Arts,the university of british columbia,478,simon fraser university,393,british columbia institute of technology,302,vancouver film school,270,university of central florida,247,university politehnica of bucharest,216,full sail university,193,university of bucharest,165,university of victoria,132,university of waterloo,131,academia de studii economice din bucurești,128,university of southern california,114,academy of art university,92,"university of california, berkeley",89,university of alberta,87,170
Elevance Health,southern new hampshire university,738,university of phoenix,619,western governors university,515,indiana university indianapolis,338,university of cincinnati,303,indiana university bloomington,300,old dominion university,300,jawaharlal nehru technological university,252,indiana wesleyan university,240,virginia commonwealth university,239,"california state university, northridge",227,purdue university,222,ball state university,177,jntuh college of engineering hyderabad,155,ucla,141,171
Emerson Electric,babes-bolyai university,1092,technical university of cluj napoca,736,savitribai phule pune university,571,university of minnesota,293,iowa state university,269,texas a&m university,186,the university of texas at austin,183,anna university chennai,176,university of mumbai,171,vishwakarma institute of technology,145,tecnológico de monterrey,125,coep technological university,117,"shri guru gobind singhji institute of engineering and technology, vishnupuri, nanded",109,universidade paulista,108,fgv - fundação getulio vargas,90,172
Enphase Energy,"indian institute of technology, kharagpur",60,university of canterbury,54,"indian institute of technology, delhi",48,"indian institute of technology, madras",47,visvesvaraya technological university,43,vellore institute of technology,41,"indian institute of technology, guwahati",38,"birla institute of technology and science, pilani",38,"indian institute of technology, bombay",36,"indian institute of technology, roorkee",34,"indian institute of technology, kanpur",33,anna university chennai,24,boise state university,24,the university of texas at austin,20,dr. a.p.j. abdul kalam technical university,15,173
Entergy,louisiana state university,516,university of new orleans,413,mississippi state university,229,arkansas tech university,217,southeastern louisiana university,173,university of phoenix,133,university of arkansas,114,lamar university,111,university of louisiana at lafayette,109,louisiana tech university,108,the university of southern mississippi,97,university of arkansas at little rock,95,texas a&m university,93,tulane university - a.b. freeman school of business,91,tulane university,85,174
EOG Resources,texas a&m university,180,university of houston,137,the university of texas at austin,124,texas tech university,93,colorado school of mines,62,the university of texas permian basin,39,texas state university,39,university of houston-downtown,38,university of oklahoma,35,"university of houston, c.t. bauer college of business",33,the university of texas at san antonio,33,sam houston state university,29,"university of the west indies, st. augustine campus",27,midland college,26,oklahoma state university,26,175
EPAM Systems,belarusian state university of informatics and radioelectronics,1960,belarusian state university,1709,national technical university of ukraine 'kyiv polytechnic institute',1258,belarusian state economic university,844,belarusian national technical university,762,lviv polytechnic national university,634,ivan franko national university of lviv,575,it academy,544,kharkiv national university of radioelectronics,537,minsk state linguistic university,494,taras shevchenko national university of kyiv,473,savitribai phule pune university,232,yerevan state university,181,kendriya vidyalaya,153,"birla institute of technology and science, pilani",99,176
EQT Corporation,penn state university,98,university of pittsburgh,84,west virginia university,64,duquesne university,43,pennwest california,35,robert morris university,34,fairmont state university,27,carnegie mellon university - tepper school of business,23,waynesburg university,22,indiana university of pennsylvania,22,point park university,18,university of pittsburgh katz graduate school of business,17,thomas r. kline school of law of duquesne university,17,marietta college,16,texas a&m university,16,177
Equifax,universidad de costa rica ucr,204,georgia institute of technology,163,georgia state university,159,universidad fidélitas,148,universidad latina de costa rica,141,university of missouri-saint louis,128,tecnológico de costa rica,127,jawaharlal nehru technological university,112,kennesaw state university,111,lindenwood university,105,the university of georgia,104,fgv - fundação getulio vargas,95,university of missouri-columbia,91,university of georgia - terry college of business,85,universidad de santiago de chile,78,178
Equinix,estácio,144,san josé state university,115,national university of singapore,103,fgv - fundação getulio vargas,76,nanyang technological university singapore,73,warsaw university of technology,61,technological university dublin,59,university of mumbai,58,"university of california, berkeley",58,universidade paulista,56,uninove - universidade nove de julho,53,jawaharlal nehru technological university,49,visvesvaraya technological university,44,amsterdam university of applied sciences,43,rmit university,40,179
Ingersoll Rand,masaryk university brno,79,university of north carolina at charlotte,76,university of phoenix,63,penn state university,63,university at buffalo,57,politecnico di milano,53,purdue university,53,north carolina state university,45,shanghai jiao tong university,44,visvesvaraya technological university,42,fgv - fundação getulio vargas,39,texas a&m university,37,savitribai phule pune university,32,anna university chennai,30,mendel university in brno,27,180
Erie Indemnity,gannon university,317,penn state university,282,pennwest edinboro,282,mercyhurst university,266,"penn state erie, the behrend college",261,pennsylvania state university-erie campus,122,slippery rock university of pennsylvania,74,indiana university of pennsylvania,62,university of pittsburgh,59,southern new hampshire university,45,pennwest clarion,44,university of phoenix,41,west virginia university,41,kent state university,33,the university of arizona global campus,30,181
Essex Property Trust,san josé state university,25,"university of california, berkeley",17,"california state university, northridge",15,california state university - east bay,14,san francisco state university,12,ucla,11,university of southern california,11,de anza college,10,university of phoenix,10,uc santa barbara,10,"california state university, long beach",10,west valley college,9,college of the canyons,8,university of washington,8,uc san diego,8,182
Estée Lauder Companies (The),fashion institute of technology,298,new york university,290,stony brook university,207,penn state university,135,national university of singapore,135,hofstra university,134,the university of hong kong,131,nyu stern school of business,119,rutgers university,110,the wharton school,104,cornell university,90,tecnológico de monterrey,88,essec business school,80,università cattolica del sacro cuore,72,neoma business school,70,183
Everest Group,delhi university,41,svkm's narsee monjee institute of management studies (nmims),36,delhi technological university (formerly dce),29,"management development institute, gurgaon",27,"indian institute of management, indore",26,shaheed sukhdev college of business studies,21,"indian institute of management, kozhikode",20,"christ university, bangalore",19,guru gobind singh indraprastha university,17,xlri jamshedpur,14,xavier institute of management(xim bhubaneswar),13,indian institute of management udaipur,12,"indian institute of management, lucknow",11,indian institute of foreign trade,10,vellore institute of technology,10,184
Evergy,kansas state university,148,washburn university,106,the university of kansas,98,university of missouri-kansas city,76,wichita state university,71,baker university,54,university of missouri-columbia,50,emporia state university,47,missouri university of science and technology,38,johnson county community college,35,university of central missouri,26,park university,26,fort hays state university,25,pittsburg state university,21,northwest missouri state university,21,185
Eversource Energy,university of connecticut,303,northeastern university,186,central connecticut state university,185,southern new hampshire university,183,massachusetts maritime academy,148,worcester polytechnic institute,141,university of massachusetts amherst,137,university of hartford,122,university of massachusetts lowell,115,wentworth institute of technology,96,university of new hampshire,91,umass boston,81,university of new haven,74,university of connecticut school of business,66,bunker hill cc,66,186
Exelon,university of illinois chicago,308,penn state university,305,drexel university,300,university of illinois urbana-champaign,292,university of maryland,237,northern illinois university,230,university of maryland global campus,227,illinois institute of technology,205,depaul university,186,university of delaware,176,devry university,161,university of maryland baltimore county,154,towson university,153,temple university,146,villanova university,128,187
Expedia Group,university of washington,539,the university of texas at austin,253,delhi university,204,uw foster school of business,119,guru gobind singh indraprastha university,118,washington state university,113,cornell university,109,university of mumbai,108,university of southern california,99,netaji subhas institute of technology,99,northeastern university,86,kendriya vidyalaya,85,texas a&m university,84,seattle university,82,"birla institute of technology and science, pilani",72,188
Expeditors International,university of washington,233,washington state university,72,tecnológico de monterrey,66,seattle university,62,universidad autónoma de nuevo león,55,western washington university,51,university of madras,51,universidade paulista,49,"california state university, long beach",49,university of phoenix,41,amsterdam university of applied sciences,40,university of mumbai,39,central washington university,39,arizona state university,35,san josé state university,28,189
Extra Space Storage,university of utah,84,western governors university,62,salt lake community college,62,university of utah - david eccles school of business,51,brigham young university,43,university of phoenix,41,utah state university,38,weber state university,31,utah valley university,29,brigham young university - idaho,23,florida atlantic university,13,arizona state university,12,the art institutes,10,full sail university,10,florida international university,8,190
ExxonMobil,texas a&m university,1046,university of buenos aires,994,the university of texas at austin,772,universidade federal do paraná,593,university of houston,586,louisiana state university,573,national university of singapore,556,thunderbird school of global management,454,pontifícia universidade católica do paraná,386,unc kenan-flagler business school,348,university of north carolina at chapel hill,302,texas tech university,259,purdue university,254,georgia institute of technology,237,universiti teknologi petronas,222,191
"F5, Inc.",university of washington,224,eastern washington university,62,jawaharlal nehru technological university,61,san josé state university,54,washington state university,54,uw foster school of business,47,university of mumbai,43,western washington university,42,seattle university,42,universidad de guadalajara,39,tecnológico de monterrey,36,gonzaga university,34,bellevue college,34,kendriya vidyalaya,32,visvesvaraya technological university,29,192
ResMed,unsw,223,university of sydney,152,university of technology sydney,125,nanyang technological university singapore,81,tafe nsw,79,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,193
FactSet,polytechnic university of the philippines,371,osmania university,356,university of santo tomas,128,university of the philippines,110,jawaharlal nehru technological university,105,far eastern university,94,de la salle university,88,adamson university,88,andhra university,82,university of connecticut,74,pamantasan ng lungsod ng maynila,71,rensselaer polytechnic institute,71,university of santo tomas,68,university of the east,57,cavite state university,54,194
Fair Isaac,chitkara university,118,uc san diego,57,fgv - fundação getulio vargas,48,san diego state university,43,chandigarh university,37,visvesvaraya technological university,37,maulana azad national institute of technology,34,"indian institute of technology, guwahati",32,"university of california, berkeley",29,vellore institute of technology,28,usp - universidade de são paulo,27,university of minnesota,24,universidad de guadalajara,24,tecnológico de monterrey,23,"birla institute of technology and science, pilani",23,195
Fastenal,winona state university,358,university of wisconsin-la crosse,102,conestoga college,86,university of north texas,76,saint mary's university of minnesota,70,minnesota state college southeast,69,university of north carolina at charlotte,68,ivy tech community college,65,kent state university,64,"birla institute of technology, mesra",57,university of phoenix,47,tecnológico de monterrey,43,penn state university,42,indiana university indianapolis,38,purdue university,35,196
Federal Realty Investment Trust,university of maryland,17,montgomery college,8,university of maryland global campus,6,james madison university,5,san josé state university,5,virginia tech,5,university of maryland - robert h. smith school of business,5,towson university,4,ucla,4,the george washington university,4,"university of california, davis",3,penn state university,3,university of virginia,3,temple university,3,west virginia university,3,197
FedEx,university of memphis,2502,university of phoenix,827,embry-riddle aeronautical university,616,christian brothers university,447,university of mississippi,351,penn state university,331,mississippi state university,328,robert morris university,312,"university of tennessee, knoxville",297,university of pittsburgh,284,university of mumbai,241,union university,186,jawaharlal nehru technological university,164,delhi university,127,fgv - fundação getulio vargas,127,198
Fidelity National Information Services,savitribai phule pune university,736,university of wisconsin-milwaukee,322,delhi university,304,anna university chennai,282,university of mumbai,249,visvesvaraya technological university,203,kendriya vidyalaya,201,university of madras,192,university of north florida,183,university of south florida,181,punjab technical university,156,university of florida,152,rajiv gandhi prodyogiki vishwavidyalaya,130,university of belgrade,119,kurukshetra university,111,199
Fifth Third Bancorp,university of cincinnati,943,northern kentucky university,523,miami university,492,university of cincinnati carl h. lindner college of business,372,xavier university,329,the ohio state university,297,university of kentucky,232,ohio university,206,cincinnati state technical and community college,202,university of phoenix,192,grand valley state university,188,university of dayton,178,wright state university,158,depaul university,140,indiana university bloomington,139,200
First Solar,the university of toledo,301,owens community college,118,bowling green state university,107,hcmc university of technology and education,57,arizona state university,42,ho chi minh city university of technology,40,universiti sains malaysia,38,universiti teknologi malaysia,37,universiti teknologi mara,32,the university of toledo college of engineering,31,the ohio state university,31,the university of arizona global campus,24,universiti utara malaysia,23,calhoun community college,19,northwest state community college,17,201
FirstEnergy,the university of akron,455,kent state university,214,penn state university,205,youngstown state university,148,cleveland state university,121,west virginia university,116,the ohio state university,90,university of pittsburgh,84,the university of toledo,84,stark state college,72,fairmont state university,63,bowling green state university,63,ohio university,60,walsh university,52,cuyahoga community college,45,202
Fiserv,university of nebraska at omaha,389,savitribai phule pune university,374,university of nebraska-lincoln,347,bellevue university,286,anna university chennai,241,university of mumbai,239,university of phoenix,210,rutgers university,177,georgia state university,163,university of madras,154,delhi university,147,jawaharlal nehru technological university,137,new jersey institute of technology,136,georgia institute of technology,114,fgv - fundação getulio vargas,98,203
FMC Corporation,"university of agriculture, faisalabad",106,fgv - fundação getulio vargas,95,university of delaware,73,university college cork,48,penn state university,45,pontifícia universidade católica de campinas,43,universidade estadual paulista júlio de mesquita filho,41,drexel university,41,usp - universidade de são paulo,35,villanova university,34,university of the punjab,30,chartered accountants ireland,29,universidade estadual de campinas,23,harvard business school online,21,bahauddin zakariya university,19,204
Ford Motor Company,wayne state university,2297,university of michigan,2012,university of michigan-dearborn,1947,michigan state university,1789,lawrence technological university,1009,tecnológico de monterrey,991,eastern michigan university,955,oakland university,877,central michigan university,845,anna university chennai,824,university of michigan - stephen m. ross school of business,677,university of madras,595,university of windsor,554,srm ist chennai,353,fgv - fundação getulio vargas,272,205
Revvity,turun yliopisto - university of turku,112,turku university of applied sciences,56,jagiellonian university,39,northeastern university,39,university of mumbai,37,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,206
Fortinet,the university of british columbia,200,simon fraser university,192,san josé state university,189,british columbia institute of technology,189,dalhousie university,94,university of ottawa,75,algonquin college of applied arts and technology,74,university of victoria,69,carleton university,67,fgv - fundação getulio vargas,58,tecnológico de monterrey,54,university of phoenix,53,university of southern california,52,visvesvaraya technological university,45,georgia institute of technology,37,207
Fortive,university of washington,148,oregon state university,132,portland state university,107,harvard business school online,98,university of phoenix,81,arizona state university,79,western washington university,78,washington state university,72,portland community college,57,rochester institute of technology,56,everett community college,50,the university of texas at austin,49,edmonds college,47,visvesvaraya technological university,46,monash university,41,208
Fox Corporation (Class A),ucla,206,"california state university, northridge",177,university of southern california,160,new york university,130,arizona state university,113,penn state university,104,hofstra university,100,"california state university, long beach",90,syracuse university,85,"california state university, fullerton",76,fordham university,73,loyola marymount university,67,boston university,67,full sail university,65,temple university,57,209
Fox Corporation (Class B),ucla,206,"california state university, northridge",177,university of southern california,160,new york university,130,arizona state university,113,penn state university,104,hofstra university,100,"california state university, long beach",90,syracuse university,85,"california state university, fullerton",76,fordham university,73,loyola marymount university,67,boston university,67,full sail university,65,temple university,57,210
Franklin Resources,osmania university,243,poznan university of economics and business,241,uniwersytet im. adama mickiewicza w poznaniu,166,california state university-sacramento,83,the institute of chartered accountants of india,77,"university of california, davis",64,"university of california, berkeley",61,university of south florida,50,poznan university of technology,48,uniwersytet wsb merito poznań,47,the wharton school,46,jawaharlal nehru technological university,46,university of florida,44,university of mumbai,43,andhra university,43,211
Freeport-McMoRan,university of arizona,315,arizona state university,243,eastern arizona college,147,western new mexico university,120,university of phoenix,119,the university of texas at el paso,118,colorado school of mines,118,northern arizona university,99,new mexico state university,78,new mexico institute of mining and technology,72,grand canyon university,70,pima community college,70,pontificia universidad católica de chile,58,national university of engineering,57,w. p. carey school of business – arizona state university,54,212
Garmin,kansas state university,438,the university of kansas,431,johnson county community college,224,national taiwan university,180,missouri university of science and technology,162,university of missouri-columbia,134,iowa state university,131,university of missouri-kansas city,131,national chiao tung university,128,arizona state university,124,oregon state university,108,university of central missouri,103,national cheng kung university,102,university of nebraska-lincoln,101,national tsing hua university,93,213
Gartner,florida gulf coast university,411,delhi university,386,university of florida,217,university of central florida,159,the university of texas at austin,156,texas a&m university,143,guru gobind singh indraprastha university,135,penn state university,123,cornell university,110,the london school of economics and political science (lse),104,university of maryland,102,fgv - fundação getulio vargas,98,amity university,90,texas state university,89,the university of texas at dallas,86,214
GE Aerospace,university of cincinnati,1491,the ohio state university,649,purdue university,595,university of dayton,423,tecnológico de monterrey,421,xavier university,420,georgia institute of technology,396,embry-riddle aeronautical university,391,penn state university,360,miami university,348,universidade católica de petrópolis,347,michigan state university,299,istanbul technical university,227,savitribai phule pune university,219,fgv - fundação getulio vargas,132,215
GE HealthCare,marquette university,528,university of wisconsin-madison,513,university of wisconsin-milwaukee,467,technion - israel institute of technology,288,visvesvaraya technological university,264,milwaukee school of engineering,262,crotonville alumni,226,penn state university,184,purdue university,182,tecnológico de monterrey,148,fgv - fundação getulio vargas,123,"birla institute of technology and science, pilani",120,kendriya vidyalaya,97,manipal institute of technology,84,university of madras,82,216
GE Vernova,georgia institute of technology,447,clemson university,276,north carolina state university,271,rensselaer polytechnic institute,263,penn state university,244,fgv - fundação getulio vargas,235,anna university chennai,223,tecnológico de monterrey,217,crotonville alumni,205,virginia tech,179,"birla institute of technology and science, pilani",98,universidade federal de itajubá,86,universidade estadual de campinas,81,the maharaja sayajirao university of baroda,76,vellore institute of technology,66,217
Gen Digital,brno university of technology,93,masaryk university brno,80,prague university of economics and business,73,charles university,59,arizona state university,53,czech technical university in prague,50,anna university chennai,47,university of madras,39,technological university dublin,18,"birla institute of technology and science, pilani",18,university of arizona,16,faculty of information technology ctu in prague,14,madras institute of technology,11,university of belgrade,10,university college dublin,9,218
Stryker Corporation,western michigan university,754,munster technological university,660,michigan state university,434,university of limerick,430,university college cork,406,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,219
