name,location,average_gpa,average_sat_composite,Average Salary 1yr,Average Salary 5yr,acceptance_rate,average_act_composite,type_of_institution,level_of_institution,average_net_price,number_of_students,gpa_link,latitude,longitude,school_name_clean_key
strayer universitysouth raleigh campus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,strayer universitysouth raleigh campus
elite college of cosmetology,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,elite college of cosmetology
universidad de navarra,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,universidad de navarra
millermotte collegestvtcorpus christi,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,millermotte collegestvtcorpus christi
greenville university,"Greenville, IL",3.3,1076.0,36911.0,43765.166666666664,0.94,20,PRIVATE,4 YEAR,21366.0,1088.0,https://www.appily.com/colleges/gpa/3-4,N/A,N/A,greenville university
abcott institute,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,abcott institute
walla walla community college,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,walla walla community college
sanford burnham prebys medical discovery institute,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,sanford burnham prebys medical discovery institute
seattle university,"Seattle, WA",3.7,1251.0,52483.583333333336,74280.92592592593,0.85,28,PRIVATE,4 YEAR,36843.0,7121.0,https://www.appily.com/colleges/gpa/3-8,N/A,N/A,seattle university
johnson university florida,"Kissimmee, FL",3.0,991.0,31422.5,38631.333333333336,0.79,19,PRIVATE,4 YEAR,17384.0,155.0,https://www.appily.com/colleges/gpa/3-1,N/A,N/A,johnson university florida
barstow community college,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,barstow community college
geisinger commonwealth school of medicine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,geisinger commonwealth school of medicine
sage school of massage esthetics,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,sage school of massage esthetics
